ticket_key,email_count_per_ticket,avg_sentiment,sentiment_variance,sentiment_trend,priority_numeric,subject_length,unique_senders,description_length,is_stalled,has_enough_emails,email_volume_per_ticket,priority,status,project.key,issuetype.name,type_Bug,type_Improvement,type_New Feature,type_Sub-task,type_Task,type_Test,type_Wish,proj_HADOOP,proj_HDFS,proj_MAPREDUCE,proj_YARN
HADOOP-1,1,0.359,0.0,0.0,3,8.0,1,10,0,0,1,Major,Closed,HADOOP,Task,0,0,0,0,1,0,0,1,0,0,0
HADOOP-10075,2,0.5157,0.282842712474619,0.4,4,9.5,2,10,0,1,2,Critical,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-10219,1,-0.0516,0.0,0.0,3,6.0,1,73,0,0,1,Major,Resolved,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-10400,1,0.7906,0.0,0.0,3,7.0,1,718,0,0,1,Major,Closed,HADOOP,New Feature,0,0,1,0,0,0,0,1,0,0,0
HADOOP-10768,10,0.8047599999999999,0.1385411868162116,0.11560000000000004,3,6.9,7,103,0,1,10,Major,Patch Available,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-10775,1,0.6174,0.0,0.0,2,10.0,1,53,0,0,1,Minor,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-11090,1,0.8555,0.0,0.0,3,11.0,1,78,0,0,1,Major,Resolved,HADOOP,New Feature,0,0,1,0,0,0,0,1,0,0,0
HADOOP-11123,5,0.87652,0.046564600288201745,-0.000883333333333236,4,5.4,4,46,0,1,5,Critical,Resolved,HADOOP,Task,0,0,0,0,1,0,0,1,0,0,0
HADOOP-11223,1,0.9238,0.0,0.0,3,2.0,1,74,0,0,1,Major,Patch Available,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-11423,5,0.87652,0.046564600288201745,-0.000883333333333236,3,5.4,4,22,0,1,5,Major,Resolved,HADOOP,New Feature,0,0,1,0,0,0,0,1,0,0,0
HADOOP-11552,17,0.7285058823529412,0.36510880308236243,-0.302588888888889,3,6.0,5,216,0,1,17,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-11717,2,0.8217,0.21269771978091345,-0.30079999999999996,3,7.0,2,103,0,1,2,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-11867,7,0.08111428571428572,0.7125441516813102,-0.7990249999999999,3,6.714285714285714,5,151,0,1,7,Major,Resolved,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
HADOOP-11875,6,0.2354166666666667,0.33746092761483765,0.15156666666666663,3,10.833333333333334,3,24,0,1,6,Major,Resolved,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
HADOOP-11890,17,0.7733117647058824,0.28992184266271004,0.08514027777777788,3,5.235294117647059,11,31,1,1,17,Major,Open,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
